champion,voice_line,is_spoken,,,
Aatrox,"Aatrox gasps, then roars.",FALSE,,,
Aatrox,Aatrox gasps.,FALSE,,,
Aatrox,Aatrox groans.,FALSE,,,
Aatrox,Aatrox grunts.,FALSE,,,
Aatrox,Aatrox laughs,FALSE,,,
Aatrox,Aatrox laughs.,FALSE,,,
Aatrox,Aatrox roars.,FALSE,,,
Aatrox,Aatrox snarls.,FALSE,,,
Aatrox,Aatrox yells.,FALSE,,,
Ahri,Ahri chuckles.,FALSE,,,
Ahri,Ahri cries out.,FALSE,,,
Ahri,Ahri cries.,FALSE,,,
Ahri,Ahri dances to a pop tune.,FALSE,,,
Ahri,"Ahri dances to an instrumental version of ""POP/STARS"".",FALSE,,,
Ahri,Ahri giggles and grunts playfully.,FALSE,,,
Ahri,Ahri giggles.,FALSE,,,
Ahri,Ahri groans.,FALSE,,,
Ahri,Ahri growls.,FALSE,,,
Ahri,"Ahri grunts and strains, then laughs.",FALSE,,,
Ahri,Ahri grunts.,FALSE,,,
Ahri,Ahri huffs.,FALSE,,,
Ahri,Ahri hums.,FALSE,,,
Ahri,Ahri imitates a growl.,FALSE,,,
Ahri,Ahri laughs.,FALSE,,,
Ahri,Ahri plays a game on her arcade cabinet before entering it.,FALSE,,,
Ahri,Ahri plays a segment of her theme.,FALSE,,,
Ahri,Ahri shouts.,FALSE,,,
Ahri,Ahri sighs in relief.,FALSE,,,
Ahri,Ahri sighs.,FALSE,,,
Akali,"Akali dances to an instrumental version of ""GIANTS"".",FALSE,,,
Akali,"Akali dances to an instrumental version of ""MORE"".",FALSE,,,
Akali,"Akali dances to an instrumental version of ""POP/STARS"".",FALSE,,,
Akali,Akali dances to an instrumental version of MORE.,FALSE,,,
Akali,Akali eats ramen.,FALSE,,,
Akali,Akali grunts.,FALSE,,,
Akali,Akali huffs.,FALSE,,,
Akali,"Akali laughs heartily, then clears her throat.",FALSE,,,
Akali,Akali laughs triumphantly.,FALSE,,,
Akali,Akali laughs.,FALSE,,,
Akali,Akali shouts in effort.,FALSE,,,
Akali,Akali suffocates.,FALSE,,,
Akshan,Akshan groans.,FALSE,,,
Akshan,Akshan laughs.,FALSE,,,
Akshan,Akshan shouts.,FALSE,,,
Akshan,Akshan yells.,FALSE,,,
Alistar,Alistar hits a cowbell.,FALSE,,,
Alistar,Alistar laughs.,FALSE,,,
Amumu,Amumu grunts.,FALSE,,,
Amumu,Amumu laughs.,FALSE,,,
Anivia,Anivia dances to Samba music.,FALSE,,,
Anivia,Anivia groans.,FALSE,,,
Anivia,Anivia grunts.,FALSE,,,
Anivia,Anivia laughs.,FALSE,,,
Annie,Annie grunts.,FALSE,,,
Annie,Annie laughs.,FALSE,,,
Aphelios,"Aphelios charges and releases, grunting.",FALSE,,,
Aphelios,Aphelios chokes.,FALSE,,,
Aphelios,Aphelios exhales forcefully.,FALSE,,,
Aphelios,Aphelios groans in effort.,FALSE,,,
Aphelios,Aphelios groans in pain and expires.,FALSE,,,
Aphelios,Aphelios groans in pain.,FALSE,,,
Aphelios,Aphelios grunts forcefully.,FALSE,,,
Aphelios,Aphelios grunts in great effort.,FALSE,,,
Aphelios,Aphelios grunts loudly.,FALSE,,,
Aphelios,Aphelios grunts quietly.,FALSE,,,
Aphelios,Aphelios grunts vigorously.,FALSE,,,
Aphelios,Aphelios grunts.,FALSE,,,
Aphelios,Aphelios huffs and grunts.,FALSE,,,
Aphelios,Aphelios huffs forcefully.,FALSE,,,
Aphelios,Aphelios huffs.,FALSE,,,
Aphelios,Aphelios hyperventilates.,FALSE,,,
Aphelios,Aphelios pants.,FALSE,,,
Aphelios,Aphelios shouts in effort vigorously.,FALSE,,,
